id,City,State,District,Density,Latitude,Longitude,Rating,Number of Reviews,Specialisation,No of Beds,Insurance Schemes
Hospital #0,Anantpur,Andhra Pradesh,Ananthapuramu,219.608,14.696532573816466,77.5845696812239,4.1,229,Pediatrics,19,"CGHS, AB-PMJAY, AIIMS, NHA, NUHM"
Hospital #1,Anantpur,Andhra Pradesh,Ananthapuramu,219.608,14.660634599686995,77.57934210631872,4.9,19172,Psychiatry,12,"AB-PMJAY, MoHFW, NHM, AIIMS, NUHM, NRHM"
Hospital #2,Chitoor,Andhra Pradesh,Chittoor,273.23,13.229217171761988,79.08447238508815,3.9,139,"Ophthalmology, Orthopedics",25,"OPD, PMSSY, NRHM, NHM, AB-PMJAY, NUHM"
Hospital #3,Chittoor,Andhra Pradesh,Chittoor,273.23,13.303435180892292,78.97211670732672,4.0,92,"Ophthalmology, Nephrology",11,"PMSSY, NHA, OPD, AIIMS, MoHFW, NUHM"
Hospital #4,East Godavari,Andhra Pradesh,East Godavari,715.46,16.970994716195186,82.2303962455134,4.8,8090,"Orthopedics, Pulmonology",34,"MoHFW, NHA, AB-PMJAY, OPD, NUHM"
Hospital #5,East Godavari,Andhra Pradesh,East Godavari,715.46,16.33095886027219,80.4615551422084,4.4,467,Neurology,5,"PMSSY, OPD, NUHM, NHM, AB-PMJAY"
Hospital #6,Guntur,Andhra Pradesh,Guntur,855.9,16.304665371173602,80.42615157785502,4.8,1121,"Urology, Dermatology",31,"CGHS, AB-PMJAY, MoHFW, AIIMS, NRHM"
Hospital #7,Guntur,Andhra Pradesh,Guntur,855.9,16.299439227373856,80.02127093796369,4.5,479,"Urology, Endocrinology",1,"CGHS, MoHFW, NHM, PMSSY, NUHM"
Hospital #8,Guntur,Andhra Pradesh,Guntur,855.9,16.27782019913075,80.03962179597357,4.6,940,"Orthopedics, Dermatology",13,"MoHFW, NUHM, PMSSY, NHM, CGHS, OPD"
Hospital #9,Guntur,Andhra Pradesh,Guntur,855.9,16.338983834280008,80.55891798770435,4.0,38,Psychiatry,36,"NUHM, AIIMS, PMSSY, MoHFW, NHA"
Hospital #10,Guntur,Andhra Pradesh,Guntur,855.9,16.276937603022017,80.43699795995973,4.8,1989,"Gynecology, Urology",19,"MoHFW, NUHM, NRHM, OPD, PMSSY, AB-PMJAY"
Hospital #11,Guntur,Andhra Pradesh,Guntur,855.9,16.35681097694647,80.41093695828027,4.3,439,"Endocrinology, Pediatrics",17,"PMSSY, NHM, NUHM, AIIMS, OPD, AB-PMJAY"
Hospital #12,Guntur,Andhra Pradesh,Guntur,855.9,16.248378192058112,80.36956293029205,4.0,392,Dermatology,21,"NRHM, OPD, CGHS, PMSSY, MoHFW, NUHM"
Hospital #13,Guntur,Andhra Pradesh,Guntur,855.9,16.39529729071638,80.50233162057708,3.1,487,Psychiatry,21,"AIIMS, PMSSY, CGHS, NHA, AB-PMJAY, NRHM"
Hospital #14,Guntur,Andhra Pradesh,Guntur,855.9,16.250507659236455,80.35677880705212,3.0,252,"Neurology, Endocrinology",37,"OPD, PMSSY, CGHS, AIIMS, NUHM"
Hospital #15,Guntur,Andhra Pradesh,Guntur,855.9,16.23115384908339,80.48399400837442,2.7,26,Gastroenterology,43,"AIIMS, AB-PMJAY, NHA, PMSSY, CGHS"
Hospital #16,Guntur,Andhra Pradesh,Guntur,855.9,16.486378855179915,80.04728021729382,3.4,76,Cardiology,14,"AIIMS, NHM, PMSSY, OPD, AB-PMJAY, MoHFW"
Hospital #17,Guntur,Andhra Pradesh,Guntur,855.9,16.284372299701715,80.40853384583733,4.7,913,Dermatology,33,"NRHM, CGHS, OPD, AIIMS, MoHFW"
Hospital #18,Guntur,Andhra Pradesh,Guntur,855.9,16.314286291683274,80.4597193136164,4.6,575,"Neurology, Orthopedics",19,"NHA, OPD, NHM, PMSSY, AIIMS, MoHFW"
Hospital #19,Guntur,Andhra Pradesh,Guntur,855.9,16.3243416329625,80.41280052571909,4.7,317,Pediatrics,22,"AB-PMJAY, NHM, NRHM, OPD, AIIMS"
Hospital #20,Guntur,Andhra Pradesh,Guntur,855.9,16.29513292333803,80.4316695289919,4.4,281,"Urology, Neurology",22,"NUHM, NHA, PMSSY, CGHS, MoHFW, AB-PMJAY"
Hospital #21,Guntur,Andhra Pradesh,Guntur,855.9,16.200465367682924,80.00290279776303,4.0,34,General Surgery,39,"CGHS, OPD, NHM, PMSSY, NRHM"
Hospital #22,Guntur,Andhra Pradesh,Guntur,855.9,16.30249851437953,80.43413724244195,4.6,575,Ophthalmology,22,"OPD, NRHM, AIIMS, NUHM, MoHFW, NHM"
Hospital #23,Guntur,Andhra Pradesh,Guntur,855.9,16.250142607358754,80.37129326808581,4.3,116,"Neurology, Dermatology",33,"OPD, AIIMS, CGHS, NHM, NUHM, PMSSY"
Hospital #24,Guntur,Andhra Pradesh,Guntur,855.9,16.34687162003222,80.55983634446578,4.2,16,Gastroenterology,26,"MoHFW, OPD, PMSSY, CGHS, NHA"
Hospital #25,Guntur,Andhra Pradesh,Guntur,855.9,16.410068089043385,80.40154284396147,3.2,142,"Endocrinology, Gastroenterology",7,"CGHS, NRHM, AB-PMJAY, OPD, NUHM"
Hospital #26,Guntur,Andhra Pradesh,Guntur,855.9,16.307280099983082,80.42794990894367,4.6,443,Pediatrics,29,"AB-PMJAY, NRHM, NUHM, OPD, MoHFW"
Hospital #27,Guntur,Andhra Pradesh,Guntur,855.9,16.337919417440453,79.95152324445125,2.6,30,Dermatology,21,"AIIMS, OPD, CGHS, AB-PMJAY, NRHM"
Hospital #28,Guntur,Andhra Pradesh,Guntur,855.9,16.301770681777008,80.44456970332085,4.8,19688,"Cardiology, Gynecology",21,"AIIMS, CGHS, MoHFW, OPD, AB-PMJAY"
Hospital #29,Guntur,Andhra Pradesh,Guntur,855.9,16.38517875460687,80.30051259374858,3.2,161,"Neurology, Cardiology",27,"AB-PMJAY, NHA, NHM, NUHM, AIIMS, PMSSY"
Hospital #30,Guntur,Andhra Pradesh,Guntur,855.9,16.066828712528896,80.42686360085742,5.0,2,"Psychiatry, Pediatrics",13,"AB-PMJAY, NUHM, NHA, AIIMS, CGHS"
Hospital #31,Guntur,Andhra Pradesh,Guntur,855.9,16.30284318872382,80.51240553090143,2.7,168,"Endocrinology, Dermatology",16,"AIIMS, PMSSY, AB-PMJAY, MoHFW, NUHM, OPD"
Hospital #32,Guntur,Andhra Pradesh,Guntur,855.9,16.353511834690217,80.39153042579285,4.3,28,"Oncology, Pediatrics",22,"NHA, AB-PMJAY, CGHS, AIIMS, NHM"
Hospital #33,Guntur,Andhra Pradesh,Guntur,855.9,16.337472725646204,80.44539567392478,4.4,2171,"Orthopedics, Pulmonology",19,"AIIMS, PMSSY, NHM, NUHM, CGHS"
Hospital #34,Guntur,Andhra Pradesh,Guntur,855.9,16.240588758064305,80.1089528676354,2.3,92,Dermatology,20,"NHA, MoHFW, AB-PMJAY, NHM, NUHM, CGHS"
Hospital #35,Guntur,Andhra Pradesh,Guntur,855.9,16.45554293378526,80.50209767997183,4.0,9,Psychiatry,7,"NUHM, AIIMS, MoHFW, OPD, PMSSY"
Hospital #36,Guntur,Andhra Pradesh,Guntur,855.9,16.273210095236287,80.46126205700541,4.5,479,"Orthopedics, Endocrinology",28,"OPD, AIIMS, PMSSY, NRHM, NHM"
